airline,ticker,year,month,year_month,avg_close,avg_normalised,avg_daily_return,avg_volatility_30d,trading_days
Qantas,QAN.AX,2023,4,2023-04,6.130270228666418,289.80955756147773,-0.008923301407658206,1.7581166311021152,17
Qantas,QAN.AX,2023,5,2023-05,5.972021144369374,282.32830544796167,0.04373190967930434,1.4220772021080705,23
Qantas,QAN.AX,2023,6,2023-06,5.918084803081694,279.77845582926585,-0.31562087271232997,1.6608694056648061,21
Qantas,QAN.AX,2023,7,2023-07,5.925155775887625,280.112737259607,0.25210820870673034,1.5742021347285573,21
Qantas,QAN.AX,2023,8,2023-08,5.836036682128906,275.89961709212736,-0.42771001080174254,1.1026305682218611,23
Qantas,QAN.AX,2023,9,2023-09,5.066014948345366,239.49670993527988,-0.6199354224241654,1.0989110267786106,21
Qantas,QAN.AX,2023,10,2023-10,4.545504179867831,214.88947568758587,-0.22992374048847763,1.3416198695894406,22
Qantas,QAN.AX,2023,11,2023-11,4.874974099072543,230.46522160952463,0.3557553374141335,1.4821908183026868,22
Qantas,QAN.AX,2023,12,2023-12,5.034125001806962,237.9891073415579,0.07559977406038935,1.2118636091207993,19
Qantas,QAN.AX,2024,1,2024-01,4.974532172793434,235.17184631291897,0.17213837812952767,1.1128536636356179,21
Qantas,QAN.AX,2024,2,2024-02,5.156171707879929,243.75888592708318,-0.3625332257745581,1.433589297374529,21
Qantas,QAN.AX,2024,3,2024-03,4.8269668340682985,228.19567007074306,0.31171164046003397,1.8485643457658767,20
Qantas,QAN.AX,2024,4,2024-04,5.284512329101562,249.826210411325,0.418140622994958,1.7373143424828452,20
Qantas,QAN.AX,2024,5,2024-05,5.664542840874714,267.7922168626912,0.19314464894901115,1.8210682695065037,23
Qantas,QAN.AX,2024,6,2024-06,5.6447068515576815,266.854467126818,-0.25818734122484466,1.4008659084151298,19
Qantas,QAN.AX,2024,7,2024-07,5.644770580789317,266.8574799369773,0.4408736836591989,1.1203970393325255,23
Qantas,QAN.AX,2024,8,2024-08,5.681985660032793,268.6168290762261,0.1944426400864855,1.8356926070442086,22
Qantas,QAN.AX,2024,9,2024-09,6.549624147869292,309.63458472219634,0.48548762647451066,1.6492372600336114,21
Qantas,QAN.AX,2024,10,2024-10,6.942071106122888,328.18758077218683,0.38466337481675017,1.4629623450869997,23
Qantas,QAN.AX,2024,11,2024-11,8.029255730765206,379.58441701308675,0.3973766701610823,1.3746807011834312,21
Qantas,QAN.AX,2024,12,2024-12,8.328629446029662,393.7373598247451,0.12666603162794166,1.351506045840904,20
Qantas,QAN.AX,2025,1,2025-01,8.561799458095006,404.76051141719324,0.24452837585544562,1.6446451081148983,21
Qantas,QAN.AX,2025,2,2025-02,8.621903991699218,407.60196336654155,0.0684788942576314,1.493984962788025,20
Qantas,QAN.AX,2025,3,2025-03,8.878606432960147,419.73761451270065,-0.07424637984929916,2.2215186953402095,21
